question,option1,option2,option3,option4,answer
Who is the main assassin in Throne of Glass series?,Celaena Sardothien,Aelin Galathynius,Manon Blackbeak,Rowan Whitethorn,Celaena Sardothien
Which Throne of Glass book features the events of the Death Dealers’ battle?,Empire of Storms,Heir of Fire,Tower of Dawn,Crown of Midnight,Empire of Storms
Who is Aelin Galathynius’ love interest?,Rowan Whitethorn,Chaol Westfall,Dorian Havilliard,Manon Blackbeak,Rowan Whitethorn
Which character betrays Celaena in Crown of Midnight?,Arobynn Hamel,Nehemia,Rowan,Celaena,Arobynn Hamel
Who is the commander of the Ironteeth witches?,Manon Blackbeak,Vassa,Rowan,Aelin,Manon Blackbeak
Which Hunger Games character volunteers to take Prim’s place?,Katniss Everdeen,Peeta Mellark,Gale Hawthorne,Johanna Mason,Katniss Everdeen
What is the name of Katniss’s district?,District 12,District 1,District 7,District 5,District 12
Who mentors Katniss and Peeta during the Games?,Haymitch Abernathy,Cinna,Gale,Effie,Haymitch Abernathy
Which character is the leader of the Dregs in Six of Crows?,Kaz Brekker,Inej Ghafa,Jesper Fahey,Matthias Helvar,Kaz Brekker
Who is known as the Wraith in Six of Crows?,Kaz Brekker,Jesper,Inej,Matthias,Inej
Which book depicts the heist on the Ice Court?,Crooked Kingdom,Six of Crows,King of Scars,Shadow and Bone,Six of Crows
Who is the former Fjerd soldier in Six of Crows?,Matthias Helvar,Kaz Brekker,Inej Ghafa,Jesper Helvar,Matthias Helvar
Which Grisha is a Heartrender?,Zoya,Alina,Mal,Nikolai,Zoya
Who is the Sun Summoner in Shadow and Bone?,Alina Starkov,Mal,Nikolai,Zoya,Alina Starkov
Who is the Darkling?,Aleksander Morozov,Mal,Alina,Nikolai,Aleksander Morozov
Which OUABH character must play the game of hearts?,Evangeline Fox,Jubilee Chase,Scarlett Dragna,Azura,Evangeline Fox
Which OUABH book is the first in the series?,Once Upon a Broken Heart,The Ballad of Never After,A Curse for True Love,Caraval,Once Upon a Broken Heart
Which OUABH book focuses on the aftermath of the curse?,A Curse for True Love,Once Upon a Broken Heart,The Ballad of Never After,Caraval,A Curse for True Love
Who controls the game in Caraval?,Legend,Scarlett,Juliet,Tella,Legend
Which Caraval book introduces Tella as a playable character?,Legend,Caraval,Finale,Spectacular,Legend
Who is Paedyn Grey?,Main character in Powerless,Kai Azer’s sister,Warner’s rival,Jax Shields’ friend,Main character in Powerless
Which character can manipulate time in Powerless?,Kai Azer,Paedyn Grey,Kitt Azer,Jax Shields,Kai Azer
Who trains Kitt Azer?,Kai Azer,Jax Shields,Paedyn Grey,Blair Archer,Kai Azer
Which Maze Runner character discovers the maze location?,Thomas,Newt,Minho,Alby,Thomas
Who leads WICKED?,Janson,Thomas,Newt,Alby,Janson
Which Hobbit travels with Frodo?,Samwise Gamgee,Pippin,Merry,Bilbo,Samwise Gamgee
Who reforges Narsil into Andúril?,Aragorn,Elrond,Gandalf,Legolas,Aragorn
Who becomes king of Gondor after Sauron’s defeat?,Aragorn,Legolas,Gimli,Frodo,Aragorn
Who is the main healer in Prison Healer?,Kiva,Luna,Paedyn,Adena,Kiva
Which Shatter Me character is Juliette’s loyal friend?,Kenji,Adam,Warner,James,Kenji
Who is Juliette’s first love interest?,Adam,Warner,Kenji,James,Adam
Which Throne of Glass character forms alliances with witches?,Aelin Galathynius,Rowan,Celaena,Manon,Aelin Galathynius
Which Throne of Glass character is heir to Adarlan’s throne?,Dorian Havilliard,Chaol,Aelin,Rowan,Dorian Havilliard
Which Hunger Games character symbolizes the Mockingjay?,Katniss Everdeen,Peeta,Gale,Johanna,Katniss Everdeen
Who is the former soldier among the Six of Crows?,Matthias Helvar,Kaz,Inej,Jesper,Matthias Helvar
Who leads the Dregs’ operations?,Kaz Brekker,Inej,Jesper,Matthias,Kaz Brekker
Which Grisha can summon fire?,Inferni,Sun Summoner,Squaller,Corporealki,Inferni
Who is the mastermind in OUABH series?,Jacks,Evangeline Fox,Scarlett Dragna,Azura,Jacks
Which Caraval character is Scarlett Dragna?,Tella’s sister,The game master,Magician,Contestant,Tella’s sister
Which Maze Runner character is captured by WICKED?,Thomas,Newt,Minho,Alby,Thomas
Who is the loyal companion of Frodo?,Samwise Gamgee,Merry,Pippin,Bilbo,Samwise Gamgee
Who trains Manon Blackbeak?,Vassa,Rowan,Celaena,Nehemia,Vassa
Which Powerless character is involved in political rivalry?,Blair Archer,Kai Azer,Kitt Azer,Paedyn Grey,Blair Archer
Which Hunger Games character is skilled in archery?,Katniss Everdeen,Prim,Gale,Peeta,Katniss Everdeen
Who becomes Juliette’s rival turned ally?,Warner,Adam,Kenji,James,Warner
Who is the Sun Summoner’s childhood friend?,Mal,Alina,Nikolai,Zoya,Mal
Which book ends the Caraval series?,Finale,Caraval,Legend,Spectacular,Finale
Who is the Darkling’s nemesis?,Alina Starkov,Mal,Nikolai,Zoya,Alina Starkov
Which OUABH book focuses on Evangeline’s redemption?,The Ballad of Never After,Once Upon a Broken Heart,A Curse for True Love,Caraval,The Ballad of Never After
Which Six of Crows character is skilled in stealth?,Inej Ghafa,Kaz,Jesper,Matthias,Inej Ghafa
Who is known as the Wraith in Ketterdam?,Kaz Brekker,Inej,Jesper,Matthias,Inej
Which Throne of Glass book details Aelin’s rise to queen?,Queen of Shadows,Heir of Fire,Crown of Midnight,Empire of Storms,Queen of Shadows
Who betrays Nehemia?,Chaol,Arobynn,Rowan,Dorian,Archer Finn
Which Shatter Me book is first?,Shatter Me,Unravel,Restore,Ignite,Shatter Me
Who is the inventor in Shadow and Bone series?,Nikolai Lantsov,Alina,Mal,Zoya,Nikolai Lantsov
Which character is known for gambling in Six of Crows?,Jesper Fahey,Kaz,Inej,Matthias,Jesper Fahey
Who is the loyal warrior in Throne of Glass?,Rowan Whitethorn,Aelin,Manon,Celaena,Rowan Whitethorn
Which Hunger Games character is a coal miner’s daughter?,Katniss Everdeen,Prim,Gale,Johanna,Katniss Everdeen
Which OUABH character is charming and deceitful?,Jacks,Evangeline,Scarlett,Azura,Jacks
Which Maze Runner book depicts the Flare outbreak?,The Kill Order,The Maze Runner,Scorch Trials,The Death Cure,The Kill Order
Which LOTR character is an elf?,Legolas,Aragorn,Gimli,Frodo,Legolas
Which Powerless character enters the Purging Trials?,Paedyn Grey,Kai Azer,Kitt Azer,Adena,Paedyn Grey
Which Caraval character is courageous and clever?,Tella,Scarlett,Juliet,Faye,Tella
Who becomes the Darkling’s rival?,Alina Starkov,Mal,Nikolai,Zoya,Alina Starkov
Which Shatter Me character has telekinetic abilities?,Juliette,Adam,Warner,Kenji,Juliette
Which character is the heir to Terrasen?,Aelin Galathynius,Celaena,Rowan,Manon,Aelin Galathynius
Who is the leader of the witches’ army?,Manon Blackbeak,Vassa,Rowan,Celaena,Manon Blackbeak
